doc_id,title,category,text,keywords
KB-001,Reset a forgotten password,Account Access,"Use password recovery when you cannot sign in. Click Forgot Password, verify your email, then create a new password. This does not unlock accounts blocked for security review.",password reset forgot recovery login sign in account
KB-002,Unlock an account after failed login attempts,Account Access,"If your account is locked after too many failed sign-in attempts, wait 15 minutes or contact support to unlock it. Password recovery alone may not remove a security lock.",locked account failed attempts unlock security
KB-003,Change the phone used for two-factor authentication,Security,"When you change phones, update two-factor authentication from Security Settings before wiping the old device. If you no longer have the old device, use backup codes or request identity verification.",2FA MFA two factor authentication phone backup codes
KB-004,Request a refund for a cancelled subscription,Billing,Refunds are available for cancelled subscriptions within 14 days of purchase if usage is below the fair-use threshold. Refunds are returned to the original payment method.,refund cancelled subscription money back billing
KB-005,Update payment method after card failure,Billing,"If a card payment fails, add a new payment method under Billing Settings. The system retries the invoice automatically after the new card is saved.",payment card failed billing invoice retry
KB-006,Understand invoice tax details,Billing,"Invoices show tax identification number, billing address, taxable amount, and local tax. Update billing details before the invoice is generated to reflect the correct legal entity.",invoice tax GST VAT billing address legal entity
KB-007,Track an order that has not arrived,Orders,"Use the shipment tracking link in your order confirmation email. If tracking has not updated for 48 hours, contact logistics support with your order ID.",track order shipment delivery logistics order id
KB-008,Change delivery address before dispatch,Orders,"Delivery address changes are possible only before warehouse dispatch. After dispatch, the courier must handle rerouting and may charge an additional fee.",delivery address change dispatch courier
KB-009,Resolve error E1042 during data upload,Troubleshooting,Error E1042 means the uploaded CSV file contains more columns than the import schema allows. Remove extra columns or update the schema mapping before retrying.,E1042 CSV upload schema columns import error
KB-010,Resolve error E2201 for expired API tokens,Troubleshooting,Error E2201 occurs when an API token has expired or was revoked. Generate a new token in Developer Settings and rotate it in your application secrets.,E2201 API token expired revoked developer settings
KB-011,Export analytics reports,Analytics,Analytics reports can be exported as CSV or PDF from the Reports page. Large exports are emailed when processing finishes.,analytics report export CSV PDF
KB-012,Create a dashboard filter,Analytics,"Dashboard filters narrow charts by date range, region, plan type, or user segment. Filters can be saved as default views for each dashboard.",dashboard filters date region segment charts
KB-013,Data retention and account deletion,Privacy,Account deletion removes personal profile data after a 30-day recovery window. Audit logs and invoices may be retained longer for legal and compliance reasons.,privacy data retention delete account compliance audit logs
KB-014,Download a copy of your personal data,Privacy,"You can request a personal data export from Privacy Settings. The export includes profile fields, activity records, and consent history.",privacy data export download personal data
KB-015,Invite teammates to a workspace,Workspace,Workspace admins can invite teammates by email. Invited users receive a link and must accept before they can access shared projects.,workspace invite teammates users email access
KB-016,Transfer workspace ownership,Workspace,Only the current owner can transfer workspace ownership. The new owner must already be an admin and must confirm the transfer by email.,workspace ownership transfer admin owner email
KB-017,Set role-based permissions,Workspace,"Role-based permissions control who can view, edit, export, or delete resources. Use least-privilege access for finance, legal, and customer data.",role based access permissions RBAC least privilege
KB-018,Cancel a trial before billing starts,Billing,Trials can be cancelled from Billing Settings before the trial end date. Cancelling a trial prevents the first invoice from being generated.,cancel trial billing invoice subscription
KB-019,Troubleshoot slow dashboard loading,Troubleshooting,Slow dashboards are often caused by wide date ranges or too many high-cardinality filters. Reduce the date range or remove expensive segment filters.,slow dashboard loading performance filters date range
KB-020,Use webhooks for external notifications,Developer,"Webhooks send event notifications to an external URL when important actions occur, such as payment success, order dispatch, or account deletion.",webhook notifications external URL events
KB-021,Rotate API keys safely,Developer,"Create a new API key, deploy it to your application, verify traffic, and then revoke the old key. Never expose API keys in client-side code or public repositories.",API key rotation secrets revoke deploy
KB-022,Understand the fair-use threshold,Policy,"The fair-use threshold limits excessive automation, bulk exports, and unusually high API calls on shared plans. Enterprise plans can request higher thresholds.",fair use threshold automation bulk exports API calls
KB-023,Change notification preferences,Account Settings,"Notification preferences control product updates, billing alerts, workspace invitations, and security messages. Security messages cannot be disabled.",notifications preferences billing alerts security messages
KB-024,Recover a deleted project,Workspace,Deleted projects remain recoverable for seven days. Workspace admins can restore them from the Trash page during the recovery period.,recover deleted project restore trash workspace
KB-025,Why an export may omit restricted fields,Compliance,Some exports omit restricted fields when the requester lacks permission or when a compliance policy blocks the data from leaving the workspace.,export restricted fields permissions compliance policy
KB-026,Set up single sign-on with SAML,Security,"Single sign-on with SAML lets employees authenticate through an identity provider. Configure entity ID, ACS URL, and certificate details in Security Settings.",SSO SAML identity provider ACS URL certificate
